Road Name	road_id	netw_id	feat_id	feat_type	name	lang_code	netw_geo_id	ferry_type	junction_id_from	junction_id_to	stacked_netw	part_of_structure	urban	back_road	stubble	processing_status	transition	display_class	routing_class	form_of_way	freeway	ramp	carriageway_designator	road_condition	no_through_traffic	rough_road	plural_junction	restricted_access	lez_restriction	toll_restriction	construction_status	demolition_date	simple_traffic_direction	blocked_passage_start	blocked_passage_end	num_of_lanes	speed_category	speedmax_pos	speedmax_neg	speed_dynamic	speed_average_pos	speed_average_neg	average_travel_time_pos	average_travel_time_neg	tourist_route_scenic	tourist_route_national	tourist_route_regional	tourist_route_nature	tourist_route_cultural	no_pedestrian_passage	not_crossable_by_pedestrians	ownership	overtaking_lane	ft_address_area_boundary_element	ft_road_element	ft_ferry_element	ft_railway_element	geometry
Finley Blvd	00005541-4c00-4600-0000-000017f5656f	00005541-4c00-0400-0000-000000092703	00005541-4c00-0400-0000-000000092703	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-000000092703		00005541-4c00-2800-ffff-ffffd049e1a4	00005541-4c00-2800-ffff-ffffd049e1b1	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		80		5.7											false	true	false	false	{"type":"LineString","coordinates":[[-86.836789,33.536148],[-86.837976,33.535573]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5656f	00005541-4c00-0400-0000-0000001de15e	00005541-4c00-0400-0000-0000001de15e	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de15e		00005541-4c00-2800-ffff-ffffd049e1b1	00005541-4c00-2800-ffff-ffffd02a687f	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		77		4.5											false	true	false	false	{"type":"LineString","coordinates":[[-86.837976,33.535573],[-86.838865,33.5351385]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5656f	00005541-4c00-0400-0000-0000001de15f	00005541-4c00-0400-0000-0000001de15f	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de15f		00005541-4c00-2800-ffff-ffffd02a687f	00005541-4c00-2800-ffff-ffffd049e204	false		true	0	false	1		20	1	2	false			1		false							2			4	4	50	50		75		2.3											false	true	false	false	{"type":"LineString","coordinates":[[-86.838865,33.5351385],[-86.839314,33.534919]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5656f	00005541-4c00-0400-0000-0000001de16e	00005541-4c00-0400-0000-0000001de16e	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de16e		00005541-4c00-2800-ffff-ffffd049e1a9	00005541-4c00-2800-ffff-ffffd02a6877	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		77		11.1											false	true	false	false	{"type":"LineString","coordinates":[[-86.839231,33.53478],[-86.838835,33.534981],[-86.83772,33.53553],[-86.837024,33.5358641]]}
Finley Blvd	00005541-4c00-4600-0000-000017f5656f	00005541-4c00-0400-0000-0000001de16f	00005541-4c00-0400-0000-0000001de16f	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de16f		00005541-4c00-2800-ffff-ffffd02a6877	00005541-4c00-2800-ffff-ffffd049e1a8	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		80		1.6											false	true	false	false	{"type":"LineString","coordinates":[[-86.837024,33.5358641],[-86.836695,33.536022]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56573	00005541-4c00-0400-0000-0000001de160	00005541-4c00-0400-0000-0000001de160	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de160		00005541-4c00-2800-ffff-ffffd049e208	00005541-4c00-2800-ffff-ffffd02a687e	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		75		3.1											false	true	false	false	{"type":"LineString","coordinates":[[-86.840457,33.5342],[-86.8398562,33.5344842]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56573	00005541-4c00-0400-0000-0000001de162	00005541-4c00-0400-0000-0000001de162	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de162		00005541-4c00-2800-ffff-ffffd049e204	00005541-4c00-2800-ffff-ffffd02a687d	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		75		4.7											false	true	false	false	{"type":"LineString","coordinates":[[-86.839314,33.534919],[-86.8402222,33.5344874]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56573	00005541-4c00-0400-0000-0000001de163	00005541-4c00-0400-0000-0000001de163	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de163		00005541-4c00-2800-ffff-ffffd02a687d	00005541-4c00-2800-ffff-ffffd049e209	false		true	0	false	1		20	1	2	false			1		false							2			3	4	50	50		73		1.7											false	true	false	false	{"type":"LineString","coordinates":[[-86.8402222,33.5344874],[-86.840547,33.534333]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56573	00005541-4c00-0400-0000-0000001de172	00005541-4c00-0400-0000-0000001de172	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de172		00005541-4c00-2800-ffff-ffffd02a687e	00005541-4c00-2800-ffff-ffffd02a6875	false		true	0	false	1		20	1	2	false			1		false							2			4	4	50	50		76		1.6											false	true	false	false	{"type":"LineString","coordinates":[[-86.8398562,33.5344842],[-86.8395455,33.5346312]]}
Finley Blvd	00005541-4c00-4600-0000-000017f56573	00005541-4c00-0400-0000-0000001de173	00005541-4c00-0400-0000-0000001de173	4110	Finley Blvd	ENG	00005541-4c00-0400-0000-0000001de173		00005541-4c00-2800-ffff-ffffd02a6875	00005541-4c00-2800-ffff-ffffd049e1a9	false		true	0	false	1		20	1	2	false			1		false							2			4	4	50	50		77		1.6											false	true	false	false	{"type":"LineString","coordinates":[[-86.8395455,33.5346312],[-86.839231,33.53478]]}
