id	entitytype	index_geometry	latitude	longitude	name	name_lng	name_type	road_class	route_dir	route_num	shield_code	micode	a2_code
00005541-4c00-0400-0000-0000000085b9	road_element	{"type":"LineString","coordinates":[[-86.119632,34.806409],[-86.119603,34.806487],[-86.119418,34.806971]]}	-86.119525	34.80669	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085ba	road_element	{"type":"LineString","coordinates":[[-86.117427,34.812396],[-86.117119,34.813169],[-86.116671,34.814463],[-86.115384,34.817908]]}	-86.116406	34.815152	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085bb	road_element	{"type":"LineString","coordinates":[[-86.115384,34.817908],[-86.115045,34.818866]]}	-86.115215	34.818387	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085bd	road_element	{"type":"LineString","coordinates":[[-86.036746,34.793904],[-86.038928,34.793863]]}	-86.037837	34.793884	County Road 32	ENG	4	7		32	8200	20080000	AL071
00005541-4c00-0400-0000-0000000085be	road_element	{"type":"LineString","coordinates":[[-86.026584,34.782977],[-86.026634,34.785786]]}	-86.026609	34.784382	County Road 33	ENG	4	5		33	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085bf	road_element	{"type":"LineString","coordinates":[[-86.026634,34.785786],[-86.026639,34.78607],[-86.026631,34.786707],[-86.026697,34.789072],[-86.026698,34.789093]]}	-86.026656	34.78744	County Road 33	ENG	4	5		33	8200	20060000	AL071
00005541-4c00-0400-0000-0000000085c0	road_element	{"type":"LineString","coordinates":[[-86.112484,34.825808],[-86.111142,34.829471]]}	-86.111813	34.82764	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085c1	road_element	{"type":"LineString","coordinates":[[-86.111142,34.829471],[-86.108116,34.837677]]}	-86.109629	34.833574	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085c2	road_element	{"type":"LineString","coordinates":[[-86.108116,34.837677],[-86.1074,34.839642]]}	-86.107758	34.83866	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085c3	road_element	{"type":"LineString","coordinates":[[-86.1074,34.839642],[-86.106964,34.840835],[-86.105554,34.84464]]}	-86.106479	34.842142	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085c4	road_element	{"type":"LineString","coordinates":[[-86.105554,34.84464],[-86.105452,34.844922]]}	-86.105503	34.844781	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085c5	road_element	{"type":"LineString","coordinates":[[-86.105452,34.844922],[-86.104647,34.847125],[-86.103569,34.850039],[-86.103018,34.851794]]}	-86.104205	34.848348	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085c6	road_element	{"type":"LineString","coordinates":[[-86.103018,34.851794],[-86.102844,34.852473],[-86.102628,34.853355],[-86.102435,34.85438],[-86.102192,34.8557],[-86.101733,34.85832],[-86.101359,34.860381],[-86.101322,34.860604]]}	-86.102122	34.856189	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
00005541-4c00-0400-0000-0000000085c8	road_element	{"type":"LineString","coordinates":[[-86.101322,34.860604],[-86.100777,34.863853],[-86.100736,34.864084]]}	-86.10103	34.862344	AL Highway 79	ENG	4	5		79	5500	20060000	AL071
